supplier_key,supplier_code,supplier_name,supplier_short_name,supplier_type,business_model,ownership_type,address_line1,address_line2,city,district,province,postal_code,country,phone_number,email,website,primary_contact_person,primary_contact_phone,primary_contact_email,delivery_lead_time_days,max_lead_time_days,delivery_method_default,delivery_frequency,delivery_cutoff_time,warehouse_location,supply_region,product_categories_supplied,brand_owned_flag,exclusive_supplier_flag,halal_certified_supplier,supplier_rating,quality_score,on_time_delivery_rate,defective_rate_percent,dispute_count,risk_level,compliance_status,payment_terms,contract_start_date,contract_end_date,minimum_order_quantity,return_policy_description,credit_limit_amount,effective_start_date,effective_end_date,is_current_record,version_number
41,SUP-0041,PT Mitra Niaga Sejahtera,Mitra Niaga,distributor,consignment,local_private,Jl. Raya Cinere No. 12,Ruko Niaga Sejahtera,Depok,Cinere,Jawa Barat,16514,Indonesia,021-7531234,info@mitraniaga.co.id,https://www.mitraniaga.co.id,Joko Prasetyo,0812-8000-0041,joko.prasetyo@mitraniaga.co.id,2,3,Vendor Delivery,harian,08:30:00,Gudang Mitra Niaga Depok,Jawa Barat,"snack lokal, minuman lokal",false,false,true,87.90,88.60,92.00,2.50,15,medium,warning,Consignment 60 hari,2010-01-01,2031-01-31,30,Retur produk unsold sesuai laporan konsinyasi bulanan,500000000.00,2010-01-01,9999-12-31,true,1
42,SUP-0042,PT Sinar Pangan Nusantara,Sinar Pangan,distributor,buy_out,local_private,Jl. Raya Cibubur No. 33,Gudang Sinar Pangan,Bogor,Cileungsi,Jawa Barat,16820,Indonesia,021-84561234,cs@sinarpangan.co.id,https://www.sinarpangan.co.id,Rudi Arman,0812-8000-0042,rudi.arman@sinarpangan.co.id,3,4,Vendor Delivery,harian,09:30:00,Gudang Sinar Pangan Cibubur,Jawa Barat,"beras, gula, minyak goreng",false,false,true,89.20,89.80,93.10,2.00,10,medium,compliant,Net 14,2010-01-01,2030-02-28,50,Retur karung sobek dan tumpah sesuai bukti penerimaan,800000000.00,2010-01-01,9999-12-31,true,1
43,SUP-0043,PT Mega Retail Distribution,Mega Retail,distributor,buy_out,local_private,Jl. Raya Serpong No. 77,Kantor Mega Retail,Tangerang Selatan,Serpong Utara,Banten,15310,Indonesia,021-5312345,sales@megaretail.co.id,https://www.megaretail.co.id,Hendri Putra,0812-8000-0043,hendri.putra@megaretail.co.id,2,3,Vendor Delivery,harian,08:00:00,Gudang Mega Retail Serpong,Banten,"FMCG mix, impulse item",false,false,true,88.70,89.30,92.70,2.10,13,medium,warning,Net 7,2010-01-01,2031-12-31,35,Retur mengacu pada performance listing dan display,650000000.00,2010-01-01,9999-12-31,true,1
44,SUP-0044,PT Surya Niaga Makmur,Surya Niaga,distributor,consignment,local_private,Jl. Raya Karang Tengah No. 19,Ruko Surya Niaga,Tangerang,Karang Tengah,Banten,15157,Indonesia,021-7345678,info@suryaniaga.co.id,https://www.suryaniaga.co.id,Lukman Hakim,0812-8000-0044,lukman.hakim@suryaniaga.co.id,3,4,Vendor Delivery,harian,10:00:00,Gudang Surya Niaga Tangerang,Banten,"produk impulse, mainan kecil",false,false,true,86.90,87.50,91.20,2.80,18,high,warning,Consignment 45 hari,2010-01-01,2031-05-31,20,Retur unsold 100 persen sesuai laporan konsinyasi,400000000.00,2010-01-01,9999-12-31,true,1
45,SUP-0045,PT Prima Snack Nusantara,Prima Snack,distributor,buy_out,local_private,Jl. Raya Bekasi Barat No. 40,Gudang Prima Snack,Bekasi,Bekasi Barat,Jawa Barat,17132,Indonesia,021-88901234,cs@primasnack.co.id,https://www.primasnack.co.id,Dian Kurniasari,0812-8000-0045,dian.kurniasari@primasnack.co.id,2,3,Vendor Delivery,harian,09:00:00,Gudang Prima Snack Bekasi,Jawa Barat,"snack lokal, kerupuk, kue kering",false,false,true,88.30,89.00,92.40,2.30,14,medium,compliant,Net 7,2010-01-01,2030-06-30,40,Retur produk rusak di display sesuai berita acara,550000000.00,2010-01-01,9999-12-31,true,1
46,SUP-0046,PT Mandiri Distribusi Sejahtera,Mandiri Distribusi,distributor,buy_out,local_private,Jl. Raya Bogor Km 21,Gudang Mandiri,Jakarta Timur,Kramat Jati,DKI Jakarta,13520,Indonesia,021-80881234,sales@mandiridistribusi.co.id,https://www.mandiridistribusi.co.id,Rahmawati,0812-8000-0046,rahmawati@mandiridistribusi.co.id,3,4,Vendor Delivery,harian,09:30:00,Gudang Mandiri Distribusi Kramat Jati,DKI Jakarta,"FMCG lokal, kebutuhan rumah tangga",false,false,true,87.50,88.20,91.80,2.60,16,medium,warning,Net 14,2010-01-01,2031-02-28,45,Retur berdasarkan evaluasi penjualan dan kualitas per kategori,600000000.00,2010-01-01,9999-12-31,true,1
47,SUP-0047,PT Sejahtera Pangan Abadi,Sejahtera Pangan,distributor,buy_out,local_private,Jl. Raya Kalimalang No. 100,Kompleks Niaga Kalimalang,Bekasi,Pondok Gede,Jawa Barat,17411,Indonesia,021-8406789,info@sejahterapangan.co.id,https://www.sejahterapangan.co.id,Irwan Saputra,0812-8000-0047,irwan.saputra@sejahterapangan.co.id,3,4,Vendor Delivery,harian,10:30:00,Gudang Sejahtera Pangan Kalimalang,Jawa Barat,"beras, mie instan lokal, minyak goreng lokal",false,false,true,88.10,88.80,92.20,2.40,14,medium,compliant,Net 14,2010-01-01,2030-10-31,60,Retur karung rusak dan tumpahan mengikuti berita acara,750000000.00,2010-01-01,9999-12-31,true,1
48,SUP-0048,PT Prima Niaga Jaya,Prima Niaga,distributor,consignment,local_private,Jl. Raya Lenteng Agung No. 45,Ruko Prima Niaga,Jakarta Selatan,Lenteng Agung,DKI Jakarta,12610,Indonesia,021-7812345,cs@primaniaga.co.id,https://www.primaniaga.co.id,Agung Prasetya,0812-8000-0048,agung.prasetya@primaniaga.co.id,2,3,Vendor Delivery,harian,08:30:00,Gudang Prima Niaga Lenteng Agung,DKI Jakarta,"mainan, aksesoris, seasonal item",false,false,true,86.50,87.20,90.80,3.00,20,high,warning,Consignment 60 hari,2010-01-01,2031-07-31,25,Retur penuh untuk barang tidak laku setelah periode display,450000000.00,2010-01-01,9999-12-31,true,1
49,SUP-0049,PT Berkah Retail Supply,Berkah Supply,distributor,buy_out,local_private,Jl. Raya Ciputat No. 20,Ruko Berkah Supply,Tangerang Selatan,Ciputat,Banten,15411,Indonesia,021-7491234,info@berkahsupply.co.id,https://www.berkahsupply.co.id,Sulastri,0812-8000-0049,sulastri@berkahsupply.co.id,3,4,Vendor Delivery,harian,09:00:00,Gudang Berkah Supply Ciputat,Banten,"ATK kecil, kebutuhan kasir, pernak pernik",false,false,true,87.80,88.40,92.00,2.40,15,medium,compliant,Net 7,2010-01-01,2030-04-30,30,Retur mengikuti kesepakatan tertulis khusus kategori non FMCG,500000000.00,2010-01-01,9999-12-31,true,1
50,SUP-0050,PT Nusantara Fresh Produce,Nusantara Fresh,distributor,buy_out,local_private,Jl. Raya Pasar Induk No. 1,Kompleks Pasar Induk,Jakarta Timur,Kramat Jati,DKI Jakarta,13510,Indonesia,021-80871234,cs@nusantarafresh.co.id,https://www.nusantarafresh.co.id,Fajar Ramadhan,0812-8000-0050,fajar.ramadhan@nusantarafresh.co.id,1,2,Vendor Delivery,harian,05:00:00,Gudang Nusantara Fresh Pasar Induk,DKI Jakarta,"buah segar, sayur segar",false,false,true,89.60,90.30,93.70,2.00,9,medium,compliant,COD,2010-01-01,2031-12-31,80,Retur produk tidak layak jual berdasarkan standar kesegaran harian,850000000.00,2010-01-01,9999-12-31,true,1
